,Articulo_Codigo,Articulo_Nombre,Grupo_Codigo,Grupo_Nombre,Subgrupo_Codigo,Subgrupo_Nombre
428,74142,CERVEZA COLEGIATA IPA BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
429,87892,CIDER LA PROHIBIDA B/25CL,58,CERVEZAS,8,CIDER
430,61258,"CERVEZA MAGNA ROJA 0,0 L/33CL",58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
431,32862,CERVEZA ALHAMBRA R.1925 6X33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
432,7675,CERVEZA BAGA BIGA EKLIPSE L/33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
433,64232,CERVEZA LA SAGRA BOHEMIA L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
434,79747,TOPOCHICO TANGY LIMON L/33CL,58,CERVEZAS,8,CIDER
435,72733,TOPOCHICO TROPICAL MANGO L/33CL,58,CERVEZAS,8,CIDER
436,83009,CERVEZA LA SAGRA PRIMAVERA BT33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
437,76486,CERVEZA 1906 IRISH RED ALE 6X33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
438,49541,"CERVEZA ESTRELLA GAL 0,0 TOS 6X25CL",58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
439,77282,CERVEZA AGUILA S/FILTRAR L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
440,60195,"CERVEZA AMSTEL ORO 0,0%, BT.25CL",58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
441,89608,CERVEZA MALA GISSONA RED BAY BT33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
442,85377,CERVEZA TURIA TOSTADA L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
443,64890,CERVEZA YELLOW CAB LAGER BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
444,64429,CIDER SAGAR KRASH BT.33CL,58,CERVEZAS,8,CIDER
445,84622,CERVEZA LA QUINCE HOP FICTION BT.33,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
446,3735,CERVEZA LA QUINCE LLIPA! BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
447,1939,CERVEZA MORLACO IPARRALDE BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
448,61882,CERVEZA MORLACO TROPICAL BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
449,85215,CERVEZA COORS BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
450,46736,CERVEZA MALA GISSONA EST.SURTIDO 6U,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
451,1769,CERVEZA KELER-LAGER BT.66CL,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
452,8327,CERVEZA PILSNER URQUELL BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
453,8097,CERVEZA LA QUINCE ROOTS L/44CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
454,9104,CERVEZA HEINEKEN SILVER L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
455,5260,CERVEZA HEINEKEN SILVER 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
456,12068,CERVEZA HEINEKEN SILVER LATA12X33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
457,63849,CERVEZA BIDASSOA IPA TXINGUDI 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
458,2322,CERVEZA 18/70 LA RUBIA BT.33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
459,89956,CERVEZA ALHAMBRA R.1925 12X33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
460,30097,CERVEZA TURIA TOSTADA BT.25CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
461,62617,CERVEZA VICTORIA L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
462,74140,CERVEZA SAN MIGUEL L/24X33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
463,63832,CERVEZA VICTORIA 6X1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
464,33023,CERVEZA MOLENBIER RADLER L/33CL,58,CERVEZAS,3,CERVEZAS SABORES
465,88696,CERVEZA MADRI EXCEPCIONAL BT33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
466,77226,CERVEZA HOFBRAU MUNCHEN BT.50CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
467,12855,CERVEZA E.DAMM DUET BT.33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
468,10443,CERVEZA CLAUSTHALER ORIG.S/ALCBT33C,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
469,70965,CERVEZA 1906 RESERVA L/33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
